Brand_id	Brand_name
1	activia
2	aldi
3	alpen-fest
4	alsy
5	arnaud
6	australine
7	bee-cee-foods
8	bee-s
9	ben-jerry-s
10	bernard-gaborit
11	bonduelle
12	brioches-thomas
13	byo-essentiel
14	carola
15	carrefour
16	carrefour-bio
17	casino
18	cereal-bio
19	cerebos
20	chabrior
21	cote-d-or
22	delhaize
23	distriborg
24	doritos
25	easy-way
26	elle-vire
27	etoile-d-or
28	fleury-michon
29	general-mills
30	gerble
31	haribo
32	harrys
33	hepar
34	herbamare
35	herta
36	jean-roze
37	joel-robuchon
38	l-oeuf-de-nos-villages
39	le-cantonnais
40	leclerc
41	leslie-s-organics-llc
42	lindt
43	lindt-sprungli
44	logismose
45	maayane
46	marque-repere
47	nos-regions-ont-du-talent
48	olvae
49	pepsico
50	petit-billy
51	pleine-forme
52	president
53	puget
54	regalo
55	ricard
56	ricola
57	saint-louis
58	sicilia
59	soignon
60	soy
61	tanoshi
62	tipiak
63	u
64	yoplait
