Packing_id	Packing_name
1	aluminium
2	atmosphere-protectrice
3	barquette
4	blister-plastique
5	bocal
6	boite
7	boite-carton
8	boite-carton-a-recycler
9	boite-en-carton
10	boite-ronde-plastiqe
11	boite-verseuse
12	bouchon-plastique
13	bouteille
14	bouteille-verre
15	bouteille-verre-et-son-bouchon-a-recycler
16	brique-carton-et-son-bouchon-a-recycler
17	briquette
18	carton
19	conserve
20	en-green-dot
21	en-pure-pak
22	en-triman
23	etui
24	feuille-factice
25	film
26	film-plastique
27	flacon
28	fr-pensez-au-tri
29	fr-plastique
30	fr-sachet
31	fr-sachet-plastique-et-son-attache-a-jeter
32	frais
33	metal
34	opercule
35	pensez-au-tri
36	plastique
37	plastique-6-ps
38	polystyrene
39	sachet
40	sachet-a-jeter
41	sachet-plastique
42	sous-atmosphere-protectrice
43	squeezer
44	verre
