code	product_name	quantity	serving_size	energy_100g	fat_100g	saturated-fat_100g	carbohydrates_100g	sugars_100g	fiber_100g	proteins_100g	salt_100g	sodium_100g	ingredients_text
20154974	Bockwürstchen saucisses fumées pur porc			925	19	7.6	0.5	0.3		12	2.04	0.803149606299213	75% viande de porc, eau, sel, épices, extraits d'épices, sucre, stabilisant: diphophates; antioxydant: acide ascorbique, conservateur: nitrite de sodium; fumée de bois de hêtre. Peut contenir des traces de moutarde, de céleri et de protéines de soja.
20712273	Emmental Francais Rapé			1586	29	20	1	1	0	28	0.6	0.236220472440945	Lait, sel, ferments (lait), coagulant.
20842703	Envia			268	3.6	2.2	4.8	4.8		3.2	0.13	0.0511811023622047	(ORIGINE STÉRILISÉ UHT. dc Ic : ct ccnttmmcr dar,s les 3 - BP 60221 -
27043721	Mayonnaise	500 ml e	15 g	3075	80.2	6.6	1.5	1.4		1.3	1.3	0.511811023622047	Huile de colza, Jaune d'_œuf_ issu d'_œufs_ de poules élevées au sol, vinaigre d'alcool, moutarde (eau, vinaigre d'alcool, graines de _moutardes_, acidifiant acide citrique, épice), sucre, sel, colorant: caroténoïdes; antioxydant : calcium disodium EDTA; extrait d'épice, épaississant: gomme guar.
65633279322	Reese Puffs Cereals	340 g	31 g	1750	9.68	1.61	77.4	29	3.23	6.45	1.64	645	MAÏS ENTIER, SUCRE ET (OU) SUCRE DORÉ, BEURRE D'ARACHIDE (_ARACHIDES_, SUCRE, MONOGLYCÉRIDŒ D'_ARACHIDE_, SEL, MÉLASSE, AMIDON DE MAÏS), SEL, MAIS DÉGERMÉ, DEXTROSE, SIROP DE MAÏS, HUILE RICHE EN GRAS MONOINSATURÉS, SEL, CACAO, PHC TRICALCIQUE, CARBONATE DE CALCIUM, COLORANT PHOSPHATE TRISODIQUE, ARÔME NATUREL (CONTIENT DE L'EXTRAIT DE FEUILLE DE STEVIA), TOCOPHÉROLS, VITAMINES ET MINÉRAUX : FER, NIACINAMIDE (VITAI PANTOTHÉNATE DE CALCIUM (VITAMINE B5), CHLORURE DE PYRIDOXINE (VITAMINE B6), FOLATE.
851492002016	Coconut Nectar		15 ml (1 Tbsp)	1536	0	0	86.67	86.67		0	0.33782	133	Organic coconut tree sap nectar
3033491107962	Activia pêche framboise			406	3.3	2	12.9	12.6	0	4	0.13	0.0511811023622047	lait entier ( pour info : 71%) (Origine: France), fuits : pêche (4,8%), framboise (4%), sucre (7,5%), lait écrémé concentré ou en poudre (Origine: UE), crème (lait) (Origine: France), épaississants: amidon transformé (E1422), pectine (E440), jus concentré de carotte pourpre, ferments lactiques dont bifidobacterium (Bifidus Acti Regularis) (lait), arôme naturel, correcteurs d'acidité: acide citrique (E330), citrates de sodium (E331). 
3035626803558	Sel marin plantes et légumes frais	250 g	2g	92	0.5	0.5	4.5	1		0.5	95.08	37.4330708661417	sel marin, plantes et légumes frais*, algue marine kelp.
3083681072730	Graines de salade	300 g		506	2.5	0.4	18	4	3	5	0.619999999999999	0.244094488188976	Blé mondé précuit concassé réhydraté (43%), lentilles cuites (11%) (lentilles, sel, arôme naturel), pois chiches, tomates (5,5%), oignons, poivrons, fromage blanc, suce bulgare (yaourt 1%, huile de colza, eau, vinaigre d'alcool, sucre, amidon modifié de pomme de terre, jaune d'œuf salé, sel, épaississants : gomme guargomme xonthone),  raisins secs (huile de colza), oignons déshydratés, vinaigre d'alcool, coriandre, moutargde de Dijon (eau, graines de moutarde, vinaigre d'alcool sel), sel, curry (0,3%) (moutarde), arôme naturel (lait). fabriqué dons un atelier Utilisant également céleri, poisson, crustacé, soja, sésame.
3092718604561	Sicilia Citron	70 cl		13	0	0	0.2	0.15	0	0	0	0	Jus de citron et d'orange à base de concentrés 46% (dont 42% citron), eau, pulpes de citron, acidifiant : acide citrique arôme naturel de citron.
3095757697105	Blanc de poulet - 25% de sel* - *par rapport à la moyenne de la catégorie - 4tr.	160 g	40 g	443	1.9	0.5	0.9	0.9	0.5	21	1.4	0.551181102362205	  Filet de poulet, bouillon (eau, _céleri_, plantes aromatiques, oignon frit (oignon, huile de tournesol), épices), sel, dextrose de maïs, épices, jus concentré de carotte et de _céleri_, antioxydant : ascorbate de sodium, conservateur : nitrite de sodium, colorant : caramel ordinaire.  
